id_projet,nom_projet,id_client,date_debut,date_fin,statut,note_satisfaction
1,Projet_Ordre_1,84,2024-11-21,,En cours,
2,Projet_Sou_2,137,2024-09-28,,En cours,
3,Projet_Papa_3,229,2024-03-19,2024-11-09,Terminé,3.9
4,Projet_Paupière_4,138,2024-08-10,2025-01-15,Terminé,3.4
5,Projet_Pouvoir_5,11,2024-08-14,,En cours,
6,Projet_Propos_6,185,2024-05-15,2024-09-30,Terminé,3.1
7,Projet_Recommencer_7,93,2024-04-28,,En cours,
8,Projet_Sous_8,111,2025-03-21,,En cours,
9,Projet_Sein_9,147,2024-06-28,2025-02-17,Terminé,3.1
10,Projet_Dur_10,196,2023-05-21,,En cours,
11,Projet_Regard_11,184,2024-02-21,,En cours,
12,Projet_Voir_12,210,2024-12-05,,En cours,
13,Projet_Pitié_13,163,2024-08-12,2024-09-06,Terminé,4.5
14,Projet_Prochain_14,197,2024-10-10,2024-10-16,Terminé,4.7
15,Projet_Gens_15,155,2023-09-30,2024-05-29,Terminé,4.9
16,Projet_Appeler_16,237,2023-09-05,,En cours,
17,Projet_Bataille_17,89,2024-05-04,2024-05-18,Terminé,3.6
18,Projet_Nous_18,183,2025-01-23,,En cours,
19,Projet_Parce que_19,59,2025-04-17,2025-04-26,Terminé,3.4
20,Projet_Grâce_20,59,2024-08-04,,En cours,
21,Projet_Habitant_21,60,2024-08-07,,En cours,
22,Projet_Relever_22,123,2024-10-29,2024-12-05,Terminé,4.7
23,Projet_Contraire_23,233,2025-03-17,,En cours,
24,Projet_Commencer_24,174,2025-01-11,,En cours,
25,Projet_Guère_25,36,2025-01-01,,En cours,
26,Projet_Chambre_26,191,2025-01-08,2025-04-27,Terminé,3.4
27,Projet_Vin_27,158,2024-08-21,2024-12-05,Terminé,3.9
28,Projet_Cent_28,159,2025-03-09,2025-04-23,Terminé,4.9
29,Projet_Escalier_29,219,2024-12-25,2025-01-11,Terminé,3.4
30,Projet_Désigner_30,125,2023-06-10,2024-10-30,Terminé,3.3
31,Projet_Cher_31,219,2023-08-28,,En cours,
32,Projet_Toile_32,99,2023-11-26,,En cours,
33,Projet_Comme_33,60,2025-04-22,,En cours,
34,Projet_Mer_34,125,2023-12-25,,En cours,
35,Projet_Effet_35,18,2023-05-27,2024-02-28,Terminé,3.1
36,Projet_Camarade_36,224,2023-07-07,,En cours,
37,Projet_Cent_37,137,2023-10-20,,En cours,
38,Projet_Ni_38,167,2025-03-23,2025-04-25,Terminé,3.5
39,Projet_Aspect_39,206,2024-11-05,,En cours,
40,Projet_Relation_40,112,2024-12-20,,En cours,
41,Projet_Parole_41,178,2024-11-16,,En cours,
42,Projet_Résistance_42,50,2024-07-10,2024-10-29,Terminé,4.0
43,Projet_Bon_43,159,2023-10-21,,En cours,
44,Projet_Moindre_44,242,2024-04-17,2025-05-03,Terminé,3.8
45,Projet_Projet_45,138,2024-09-24,2025-02-02,Terminé,4.5
46,Projet_Comprendre_46,174,2023-09-11,,En cours,
47,Projet_Loup_47,84,2025-03-03,2025-03-17,Terminé,3.8
48,Projet_Toit_48,30,2023-08-17,2024-03-17,Terminé,3.3
49,Projet_Miser_49,163,2024-12-11,,En cours,
50,Projet_Sou_50,36,2023-12-29,,En cours,
51,Projet_Rester_51,72,2025-03-04,,En cours,
52,Projet_Hier_52,242,2024-05-30,2024-11-30,Terminé,4.3
53,Projet_Sur_53,118,2024-04-10,2024-12-18,Terminé,4.2
54,Projet_Accent_54,134,2025-03-24,2025-04-17,Terminé,4.4
55,Projet_Devant_55,233,2025-03-13,,En cours,
56,Projet_Étroit_56,89,2025-04-04,2025-05-03,Terminé,4.4
57,Projet_Train_57,21,2024-11-17,,En cours,
58,Projet_Etc_58,237,2024-01-15,,En cours,
59,Projet_Valeur_59,85,2023-10-02,,En cours,
60,Projet_Chair_60,201,2024-09-10,2025-02-11,Terminé,4.4
61,Projet_Vide_61,167,2024-01-23,,En cours,
62,Projet_Coeur_62,56,2024-02-20,2024-05-20,Terminé,4.9
63,Projet_Enfoncer_63,10,2023-09-26,2025-03-23,Terminé,4.5
64,Projet_Prière_64,54,2024-08-27,,En cours,
65,Projet_Camarade_65,135,2024-09-01,,En cours,
66,Projet_Sentiment_66,54,2024-10-22,,En cours,
67,Projet_Possible_67,34,2025-01-28,2025-02-01,Terminé,3.5
68,Projet_Fatigue_68,43,2023-11-19,2024-01-05,Terminé,4.2
69,Projet_Regard_69,146,2023-11-18,,En cours,
70,Projet_Prendre_70,160,2025-03-18,2025-05-08,Terminé,4.4
71,Projet_Cercle_71,58,2024-03-05,,En cours,
72,Projet_Queue_72,74,2024-05-02,2025-01-10,Terminé,3.7
73,Projet_Inquiétude_73,110,2024-11-23,2025-01-03,Terminé,4.6
74,Projet_Marier_74,34,2024-05-20,,En cours,
75,Projet_Fin_75,173,2023-08-09,2024-07-10,Terminé,4.6
76,Projet_Marcher_76,21,2024-12-24,,En cours,
77,Projet_Ou_77,249,2023-08-15,,En cours,
78,Projet_Vous_78,34,2024-09-10,,En cours,
79,Projet_Foule_79,180,2024-06-08,,En cours,
80,Projet_Courant_80,74,2023-10-24,2025-05-02,Terminé,4.8
81,Projet_Gauche_81,223,2023-07-07,2024-08-03,Terminé,3.1
82,Projet_Champ_82,204,2024-07-02,2025-02-20,Terminé,3.2
83,Projet_Anglais_83,241,2024-07-07,2024-10-15,Terminé,3.6
84,Projet_Compte_84,220,2023-07-16,,En cours,
85,Projet_Marche_85,46,2023-07-19,2024-09-19,Terminé,4.4
86,Projet_Bureau_86,15,2024-07-15,,En cours,
87,Projet_Silencieux_87,85,2023-11-07,2024-04-21,Terminé,4.5
88,Projet_Personne_88,110,2023-08-30,,En cours,
89,Projet_Or_89,100,2024-10-24,,En cours,
90,Projet_Parti_90,152,2024-05-09,2024-09-20,Terminé,3.7
91,Projet_Fille_91,49,2024-12-30,,En cours,
92,Projet_Essuyer_92,130,2023-09-17,,En cours,
93,Projet_Donner_93,122,2024-11-28,,En cours,
94,Projet_Histoire_94,16,2023-06-20,,En cours,
95,Projet_Abri_95,110,2023-11-02,2024-05-10,Terminé,3.8
96,Projet_Projet_96,225,2023-12-12,2024-08-21,Terminé,4.4
97,Projet_Quatre_97,153,2024-12-03,2024-12-12,Terminé,3.7
98,Projet_Vite_98,30,2024-10-30,,En cours,
99,Projet_Grand_99,15,2024-04-27,,En cours,
100,Projet_Relever_100,228,2024-08-02,2025-02-06,Terminé,3.3
101,Projet_Rayon_101,54,2024-08-08,2025-05-13,Terminé,4.6
102,Projet_Lequel_102,156,2025-04-22,2025-04-29,Terminé,3.7
103,Projet_Prière_103,189,2025-03-10,,En cours,
104,Projet_Air_104,214,2023-12-01,,En cours,
105,Projet_Ton_105,16,2024-01-31,,En cours,
106,Projet_Paupière_106,236,2024-03-11,,En cours,
107,Projet_Prêt_107,131,2024-09-04,,En cours,
108,Projet_Yeux_108,139,2025-04-23,,En cours,
109,Projet_Effacer_109,107,2023-12-19,,En cours,
110,Projet_Horizon_110,101,2024-07-12,2024-12-05,Terminé,4.3
111,Projet_Conversation_111,45,2024-03-28,,En cours,
112,Projet_An_112,96,2024-05-31,2025-05-11,Terminé,3.4
113,Projet_Attirer_113,235,2023-09-07,,En cours,
114,Projet_Entier_114,235,2024-10-11,,En cours,
115,Projet_Signe_115,46,2023-11-30,,En cours,
116,Projet_Fonder_116,109,2023-08-10,2023-10-29,Terminé,3.8
117,Projet_Très_117,225,2025-03-27,,En cours,
118,Projet_D'autres_118,46,2024-06-02,,En cours,
119,Projet_Spectacle_119,169,2024-05-01,,En cours,
120,Projet_Discuter_120,166,2024-12-28,,En cours,
121,Projet_Proposer_121,175,2023-06-20,,En cours,
122,Projet_Après_122,155,2024-06-25,,En cours,
123,Projet_Cri_123,81,2024-11-06,2024-11-06,Terminé,3.1
124,Projet_Terminer_124,115,2023-10-20,,En cours,
125,Projet_Ciel_125,38,2023-08-23,,En cours,
126,Projet_Discussion_126,190,2024-10-30,2025-01-26,Terminé,4.6
127,Projet_Doute_127,128,2023-07-20,2023-08-11,Terminé,4.4
128,Projet_Français_128,184,2023-06-06,2024-07-27,Terminé,4.5
129,Projet_Sang_129,84,2023-06-06,,En cours,
130,Projet_Bois_130,224,2023-10-12,2023-12-22,Terminé,4.9
131,Projet_Conclure_131,49,2023-07-01,2024-02-14,Terminé,3.2
132,Projet_Appuyer_132,93,2024-06-07,2024-07-28,Terminé,4.7
133,Projet_Tenir_133,169,2024-09-01,2025-03-07,Terminé,4.2
134,Projet_Sortir_134,2,2024-12-24,,En cours,
135,Projet_Trésor_135,165,2024-11-09,,En cours,
136,Projet_Répandre_136,138,2024-04-21,2024-12-11,Terminé,3.8
137,Projet_Usage_137,30,2023-07-03,,En cours,
138,Projet_Manquer_138,110,2025-02-11,,En cours,
139,Projet_Vérité_139,75,2024-05-16,2024-07-06,Terminé,3.0
140,Projet_Revenir_140,80,2023-11-29,2025-04-14,Terminé,4.7
141,Projet_Hiver_141,36,2025-01-14,,En cours,
142,Projet_Lui_142,79,2024-05-15,2025-01-04,Terminé,3.7
143,Projet_Ordre_143,81,2023-09-07,2025-03-06,Terminé,4.1
144,Projet_Gauche_144,229,2024-11-25,2025-05-12,Terminé,4.7
145,Projet_Enfin_145,23,2025-01-29,2025-02-13,Terminé,3.4
146,Projet_Grave_146,183,2023-08-29,2024-04-22,Terminé,4.0
147,Projet_Folie_147,155,2025-01-20,,En cours,
148,Projet_Humain_148,250,2024-07-14,2024-12-06,Terminé,4.8
