student_id,major_code,registration_date,status
S1000,ENG,2024-12-19,pending
S1001,CS,2024-07-05,pending
S1002,CS,2024-05-27,active
S1003,BUS,2025-04-26,
S1004,ENG,2025-02-21,active
X6638,BUS,2025-03-19,cancelled
S1006,BIO,2024-11-05,cancelled
S1007,UNKNOWN,2024-09-12,invalid
S1008,LAW,2025-04-05,cancelled
S1009,CS,2024-09-05,
S1010,ENG,2024-11-22,active
S1011,CS,2024-06-19,cancelled
S1012,BIO,2024-06-07,
S1013,LAW,2024-10-01,cancelled
S1014,BIO,2025-04-16,pending
S1015,BIO,2024-09-08,active
S1016,ENG,2025-03-15,pending
S1017,UNKNOWN,2024-09-29,invalid
S1018,CS,2025-03-08,pending
S1019,CS,2024-10-12,cancelled
S1020,CS,2025-05-14,
S1021,LAW,2024-08-17,pending
S1022,BIO,2025-02-11,cancelled
S1023,LAW,2024-06-05,cancelled
S1024,LAW,2099-99-99,active
S1025,LAW,2024-06-20,cancelled
S1026,ENG,2025-01-01,cancelled
S1027,BUS,2024-12-20,pending
S1028,CS,2025-01-05,
S1029,BIO,2025-04-04,active
S1030,CS,2024-11-28,cancelled
S1031,ENG,2025-04-01,pending
S1032,LAW,2024-06-18,active
S1033,BUS,2024-09-24,active
S1034,CS,2025-04-29,invalid
S1035,ENG,2024-10-10,invalid
S1036,LAW,2024-05-25,invalid
S1037,CS,2024-11-12,invalid
S1038,BUS,2024-07-23,invalid
S1039,UNKNOWN,2025-01-18,pending
S1040,ENG,2024-07-25,cancelled
S1041,BUS,2025-03-08,
S1042,BUS,2024-10-27,pending
S1043,LAW,2024-10-08,
X7658,BIO,2024-11-01,invalid
S1045,ENG,2024-11-06,invalid
X2194,BIO,2024-07-21,
S1047,ENG,2025-05-14,cancelled
S1048,CS,2025-02-24,active
S1049,BUS,2025-01-25,
S1050,ENG,2025-03-30,active
S1051,CS,2025-02-23,
S1052,BIO,2025-02-15,cancelled
S1053,LAW,2024-06-22,active
S1054,BUS,2024-12-11,invalid
